PANTONE NAME	C	M	Y	K	
PANTONE Process Yellow CHC	0	0	100	0	Process Yellow
PANTONE Process Magenta CHC	0	100	0	0	Process Magenta
PANTONE Process Cyan CHC	100	0	0	0	Process Cyan
PANTONE Process Black CHC	0	0	0	100	Process Black
PANTONE Orange 021 CHC	0	58	100	0	Orange 021
PANTONE Red 032 CHC	0	91	82	0	Red 032
PANTONE Blue 072 CHC	100	91	0	0	Blue 072
PANTONE 100 CHC	0	0	63	0	100
PANTONE 101 CHC	0	0	76	0	101
PANTONE 102 CHC	0	0	90	0	102
PANTONE Yellow CHC	0	3	100	0	Yellow
PANTONE 103 CHC	0	2	100	21	103
PANTONE 104 CHC	3	0	100	33	104
PANTONE 105 CHC	0	2	100	50	105
PANTONE 106 CHC	0	4	77	0	106
PANTONE 107 CHC	0	5	87	0	107
PANTONE 108 CHC	0	7	95	0	108
PANTONE 109 CHC	0	9	100	0	109
PANTONE 110 CHC	0	10	100	15	110
PANTONE 111 CHC	0	2	100	34	111
PANTONE 112 CHC	0	4	100	43	112
PANTONE 113 CHC	0	7	68	0	113
PANTONE 114 CHC	0	8	77	0	114
PANTONE 115 CHC	0	10	84	0	115
PANTONE 116 CHC	0	15	98	0	116
PANTONE 117 CHC	0	14	100	20	117
PANTONE 118 CHC	0	11	100	30	118
PANTONE 119 CHC	0	10	100	45	119
PANTONE 120 CHC	0	10	61	0	120
PANTONE 121 CHC	0	12	69	0	121
PANTONE 122 CHC	0	14	77	0	122
PANTONE 123 CHC	0	22	94	0	123
PANTONE 124 CHC	0	21	100	8	124
PANTONE 125 CHC	0	18	100	26	125
PANTONE 126 CHC	0	13	100	37	126
PANTONE 1205 CHC	0	9	39	0	1205
PANTONE 1215 CHC	0	12	54	0	1215
PANTONE 1225 CHC	0	20	72	0	1225
PANTONE 1235 CHC	0	28	92	0	1235
PANTONE 1245 CHC	0	21	100	23	1245
PANTONE 1255 CHC	0	18	100	35	1255
PANTONE 1265 CHC	0	21	100	50	1265
PANTONE 127 CHC	0	10	64	0	127
PANTONE 128 CHC	0	13	76	0	128
PANTONE 129 CHC	0	18	85	0	129
PANTONE 130 CHC	0	32	100	0	130
PANTONE 131 CHC	0	32	100	15	131
PANTONE 132 CHC	0	24	100	35	132
PANTONE 133 CHC	0	20	100	58	133
PANTONE 134 CHC	0	17	58	0	134
PANTONE 135 CHC	0	22	68	0	135
PANTONE 136 CHC	0	28	79	0	136
PANTONE 137 CHC	0	36	95	0	137
PANTONE 138 CHC	0	39	100	8	138
PANTONE 139 CHC	0	32	100	28	139
PANTONE 140 CHC	0	25	100	52	140
PANTONE 1345 CHC	0	17	48	0	1345
PANTONE 1355 CHC	0	23	58	0	1355
PANTONE 1365 CHC	0	32	73	0	1365
PANTONE 1375 CHC	0	41	93	0	1375
PANTONE 1385 CHC	0	43	100	11	1385
PANTONE 1395 CHC	0	38	100	37	1395
PANTONE 1405 CHC	0	35	100	54	1405
PANTONE 141 CHC	0	23	70	0	141
PANTONE 142 CHC	0	29	81	0	142
PANTONE 143 CHC	0	35	89	0	143
PANTONE 144 CHC	0	50	100	0	144
PANTONE 145 CHC	0	47	100	13	145
PANTONE 146 CHC	0	41	100	34	146
PANTONE 147 CHC	0	26	100	56	147
PANTONE 148 CHC	0	20	44	0	148
PANTONE 149 CHC	0	25	50	0	149
PANTONE 150 CHC	0	37	68	0	150
PANTONE 151 CHC	0	52	93	0	151
PANTONE 152 CHC	0	54	100	1	152
PANTONE 153 CHC	0	47	100	19	153
PANTONE 154 CHC	0	43	100	33	154
PANTONE 1485 CHC	0	30	57	0	1485
PANTONE 1495 CHC	0	40	76	0	1495
PANTONE 1505 CHC	0	48	90	0	1505
PANTONE Orange 021 CHC	0	58	100	0	Orange 021
PANTONE 1525 CHC	0	59	100	20	1525
PANTONE 1535 CHC	0	52	100	38	1535
PANTONE 1545 CHC	0	49	100	74	1545
PANTONE 155 CHC	0	18	37	0	155
PANTONE 156 CHC	0	29	50	0	156
PANTONE 157 CHC	0	50	74	0	157
PANTONE 158 CHC	0	67	100	0	158
PANTONE 159 CHC	0	68	100	12	159
PANTONE 160 CHC	0	60	100	33	160
PANTONE 161 CHC	0	56	100	59	161
